C,d1,d3,d5
0.00032,50.94736842105263,50.94736842105263,50.94736842105263
0.0016,50.94736842105263,50.94736842105263,50.94736842105263
0.008,50.94736842105263,50.94736842105263,50.94736842105263
0.04,74.86315789473684,50.94736842105263,50.94736842105263
0.2,76.33684210526316,50.94736842105263,50.94736842105263
1,76.12631578947368,62.48421052631579,50.94736842105263
5,76.16842105263157,76.8,53.51578947368421
25,76.0421052631579,74.82105263157895,73.47368421052632
125,75.70526315789473,74.4,74.23157894736842
625,76.0421052631579,73.38947368421053,73.81052631578947
3125,75.78947368421052,72.63157894736842,70.3578947368421
